SATFHR,SUNA Serial    Number , SN:2503
SATFHR,Application      Name , SUNA-V2
SATFHR,Firmware      Version , 2.5.1
SATFHR,App Build        Date , Feb  5 2015, 10:10:30
SATFHR,Operating        Mode , Continuous
SATFHR,Calibration      File , SNA2503E.cal
SATFHR,Spec Integration Time , 275
SATFHR,Wavelength Fit  Range , 217.00 <-> 240.00
SATFHR,Fitted Concentrations , 3
SATFHR,Baseline        Model , 1
SATFHR,Br Temp  Compensation , Off
SATFHR,Bromide Term in Model , will be FIT (to absorbance data)
SATFHR,Absorbance     Cutoff , 1.300000
SATFHR,Zeiss Coefficient Vals, 1.895970e+02, 7.837790e-01, 1.328680e-04, -3.009120e-07
SATSLF2503,2026106,10.541493,-3.28,-0.0459,-0.3685,-0.5312,0.00,17824,986,1,1017,1006,1012,1009,1021,1017,1021,1021,1023,1011,1031,1067,1223,1686,2789,4846,7757,10972,13811,15877,17191,18011,18528,19005,19533,20199,21056,22114,23338,24757,26323,28003,29693,31356,32746,33945,34699,35048,34961,34432,33620,32537,31363,30209,29200,28300,27625,27166,26902,26864,27062,27444,28010,28757,29638,30677,31819,33040,34311,35606,36846,37996,38922,39649,40089,40192,39923,39355,38358,37138,35662,34100,32465,30877,29294,27880,26536,25351,24294,23411,22602,21963,21443,21024,20717,20528,20429,20417,20523,20673,20963,21332,21728,22211,22720,23253,23760,24216,24632,24913,25069,25062,24925,24627,24160,23560,22870,22103,21321,20497,19688,18961,18234,17609,17018,16521,16091,15726,15407,15165,14994,14859,14766,14803,14845,14965,15117,15318,15572,15864,16216,16594,17018,17438,17927,18392,18875,19387,19856,20315,20773,21210,21564,21873,22132,22316,22455,22514,22478,22381,22202,21981,21700,21352,20990,20565,20115,19685,19216,18777,18341,17917,17510,17132,16764,16397,16049,15677,15335,14978,14601,14261,13920,13592,13315,13079,12855,12676,12535,12408,12317,12292,12244,12243,12212,12203,12195,12190,12210,12178,12183,12160,12120,12121,12092,12098,12097,12098,12085,12069,12064,12085,12082,12098,12098,12088,12073,12071,12039,12007,11955,11892,11826,11714,11591,11474,11350,11186,11049,10897,10739,10586,10397,10189,9980,9738,9500,9274,9085,8913,8762,8626,8477,8345,8247,8163,8087,8017,7894,7767,7646,7524,7433,7334,7249,7192,7113,7090,7040,6988,6947,6920,6935,6965,6894,6540,34.2,34.6,32.8,231072,0.0,12.9,12.0,5.0,619,12.65,-18.05,60.5935,-38.597698,0.000283,,,,,162
SATSLF2503,2026106,10.541722,-3.23,-0.0453,-0.3687,-0.5314,0.00,17821,986,1,999,1011,1005,997,1007,1022,1020,1019,1019,1034,1036,1057,1200,1668,2770,4851,7764,10958,13808,15869,17185,18014,18528,18987,19517,20180,21021,22071,23288,24725,26302,27979,29677,31318,32742,33923,34691,35032,34942,34437,33604,32506,31355,30198,29177,28297,27620,27145,26888,26854,27038,27424,27995,28733,29640,30664,31805,33037,34294,35600,36820,37965,38902,39612,40072,40180,39906,39318,38343,37096,35667,34090,32464,30869,29305,27869,26536,25362,24295,23408,22612,21957,21419,21015,20709,20500,20417,20418,20525,20702,20985,21344,21760,22217,22747,23264,23745,24206,24631,24918,25080,25085,24932,24630,24176,23569,22867,22106,21301,20488,19702,18974,18266,17600,17039,16533,16094,15720,15402,15162,14971,14853,14786,14784,14828,14953,15108,15323,15594,15886,16217,16597,17014,17428,17907,18364,18869,19366,19857,20308,20797,21204,21574,21882,22132,22308,22441,22507,22469,22395,22210,21989,21689,21350,20970,20554,20122,19668,19211,18779,18341,17928,17501,17137,16756,16405,16060,15700,15334,14962,14601,14259,13905,13602,13312,13077,12865,12693,12531,12420,12330,12266,12243,12212,12201,12200,12221,12197,12194,12194,12183,12161,12134,12114,12114,12104,12085,12081,12076,12066,12069,12091,12097,12104,12101,12099,12089,12060,12050,12019,11973,11894,11821,11722,11607,11475,11352,11196,11034,10888,10739,10582,10400,10197,9975,9735,9505,9303,9117,8931,8757,8629,8481,8361,8249,8176,8098,8013,7893,7773,7630,7504,7430,7333,7233,7182,7114,7084,7050,6986,6944,6933,6934,6961,6875,6550,34.2,34.6,32.8,231073,0.0,12.9,12.1,5.0,620,12.31,-17.50,60.5790,-38.582319,0.000258,,,,,72
SATSLF2503,2026106,10.542015,-2.05,-0.0287,-0.3688,-0.5321,0.00,17824,986,1,1003,1012,1008,1013,1019,1019,1014,1013,1019,1024,1025,1061,1195,1667,2787,4853,7745,10952,13783,15864,17184,17981,18512,18973,19498,20168,21010,22071,23301,24732,26311,27996,29685,31304,32709,33909,34675,35010,34918,34384,33584,32489,31323,30162,29153,28273,27602,27133,26886,26854,27056,27436,27992,28749,29638,30663,31796,33041,34296,35593,36827,37968,38909,39624,40074,40166,39899,39306,38348,37100,35643,34068,32448,30857,29292,27854,26529,25350,24298,23410,22617,21963,21428,20999,20719,20498,20407,20421,20518,20702,20995,21341,21776,22220,22757,23290,23786,24253,24660,24924,25101,25097,24952,24640,24179,23578,22887,22116,21315,20493,19701,18967,18250,17616,17035,16530,16087,15728,15414,15169,14968,14855,14796,14800,14849,14957,15118,15316,15591,15881,16209,16595,17020,17463,17908,18392,18897,19364,19864,20324,20788,21193,21580,21894,22133,22332,22460,22509,22485,22385,22203,21991,21685,21344,20981,20554,20139,19678,19218,18785,18329,17917,17513,17137,16760,16422,16064,15735,15345,14982,14605,14268,13908,13575,13319,13069,12860,12681,12525,12417,12339,12276,12243,12230,12218,12213,12204,12209,12195,12183,12181,12160,12129,12117,12106,12113,12100,12119,12104,12104,12087,12130,12097,12105,12106,12101,12089,12065,12055,12017,11969,11913,11838,11742,11626,11496,11355,11204,11045,10889,10753,10597,10410,10208,9993,9762,9517,9311,9117,8924,8777,8644,8502,8369,8273,8169,8129,8021,7910,7770,7632,7526,7430,7337,7260,7193,7156,7108,7059,6999,6931,6927,6933,6967,6878,6532,34.2,34.6,32.8,231074,0.0,13.1,12.0,5.0,608,6.52,-8.21,59.2768,-38.035904,0.000305,,,,,207
SATSLF2503,2026106,10.542317,-2.69,-0.0377,-0.3676,-0.5313,0.00,17778,986,1,1008,1022,1013,1015,1010,1023,1026,1026,1026,1023,1027,1066,1206,1665,2769,4836,7723,10929,13753,15808,17147,17946,18467,18951,19441,20115,20964,21993,23239,24658,26228,27910,29602,31209,32630,33812,34582,34912,34818,34298,33493,32402,31254,30102,29086,28218,27510,27059,26801,26784,26970,27363,27920,28652,29556,30574,31718,32928,34198,35490,36709,37849,38784,39504,39945,40052,39774,39193,38231,37004,35552,33993,32350,30773,29210,27782,26450,25275,24240,23360,22557,21901,21370,20948,20650,20459,20357,20368,20462,20668,20938,21301,21706,22184,22706,23221,23719,24188,24585,24864,25047,25028,24893,24582,24092,23517,22827,22061,21272,20444,19669,18897,18208,17573,16989,16502,16055,15703,15377,15139,14960,14798,14763,14763,14809,14923,15079,15299,15559,15854,16168,16574,16964,17381,17863,18334,18822,19324,19776,20251,20713,21130,21497,21818,22080,22256,22403,22453,22446,22320,22151,21923,21626,21290,20912,20501,20072,19625,19177,18734,18290,17877,17466,17088,16718,16362,16019,15655,15299,14953,14576,14213,13888,13556,13279,13047,12811,12637,12501,12376,12327,12261,12230,12210,12195,12197,12183,12170,12166,12147,12144,12134,12101,12098,12068,12082,12073,12071,12078,12065,12066,12071,12084,12083,12097,12093,12079,12053,12039,11997,11954,11892,11813,11729,11597,11474,11336,11193,11014,10875,10709,10565,10384,10184,9962,9739,9494,9283,9092,8909,8761,8606,8488,8355,8258,8166,8107,8013,7901,7754,7635,7522,7434,7334,7256,7180,7106,7066,7031,6989,6937,6923,6942,6951,6875,6535,34.2,34.6,32.8,231075,0.0,13.1,12.1,5.0,605,10.91,-15.40,59.7148,-38.163203,0.000265,,,,,108
SATSLF2503,2026106,10.542611,-2.91,-0.0408,-0.3638,-0.5282,0.00,17647,986,1,1013,1001,1010,1010,1012,1020,1006,1018,1011,1023,1035,1052,1191,1648,2748,4801,7670,10858,13652,15707,17013,17818,18335,18807,19316,19972,20821,21836,23071,24462,26024,27681,29349,30967,32362,33548,34311,34633,34582,34057,33226,32179,31013,29867,28868,27979,27312,26856,26581,26567,26756,27120,27697,28442,29326,30368,31484,32698,33942,35222,36433,37570,38500,39200,39651,39752,39476,38900,37940,36722,35276,33732,32121,30536,28987,27570,26264,25090,24049,23170,22369,21717,21206,20806,20508,20320,20200,20219,20322,20478,20761,21116,21515,21981,22513,23026,23538,24007,24401,24680,24856,24859,24715,24420,23930,23336,22659,21904,21102,20301,19517,18775,18080,17451,16873,16375,15926,15575,15262,15013,14835,14707,14647,14639,14695,14811,14961,15156,15419,15725,16060,16450,16860,17273,17730,18217,18694,19192,19657,20125,20569,20988,21358,21664,21926,22107,22239,22282,22260,22166,21978,21757,21469,21120,20759,20353,19926,19489,19044,18596,18157,17746,17344,16981,16600,16247,15907,15537,15176,14834,14476,14126,13781,13457,13211,12949,12732,12563,12413,12293,12231,12156,12135,12121,12104,12090,12084,12096,12077,12087,12053,12033,12019,12019,11997,11988,11968,11985,11977,11977,11988,11984,12003,12012,11993,11991,11989,11976,11957,11910,11861,11812,11717,11635,11509,11402,11258,11085,10939,10795,10646,10503,10325,10132,9888,9658,9441,9229,9041,8855,8695,8557,8414,8299,8189,8105,8039,7971,7850,7705,7581,7476,7372,7271,7200,7122,7069,7038,7000,6948,6897,6883,6890,6905,6832,6475,34.2,34.6,32.8,231076,0.0,13.2,12.0,5.0,603,8.70,-11.41,61.4935,-38.771309,0.000217,,,,,200
SATSLF2503,2026106,10.542902,-2.02,-0.0282,-0.3633,-0.5267,0.00,17627,986,1,1017,1005,1023,1017,1020,1021,1013,1021,1026,1028,1025,1074,1201,1645,2760,4796,7662,10828,13630,15671,16985,17763,18298,18747,19293,19950,20788,21836,23057,24446,26007,27658,29317,30944,32329,33509,34282,34592,34528,33994,33186,32104,30957,29818,28818,27940,27254,26801,26549,26518,26720,27120,27661,28410,29291,30309,31446,32649,33876,35176,36389,37514,38442,39149,39611,39697,39447,38858,37875,36663,35232,33677,32048,30481,28963,27534,26232,25062,24029,23130,22347,21718,21168,20775,20484,20269,20187,20201,20296,20479,20764,21098,21515,21979,22497,23025,23529,23989,24367,24677,24832,24833,24684,24382,23909,23340,22638,21868,21095,20277,19486,18752,18062,17432,16872,16363,15930,15571,15255,15013,14825,14696,14640,14626,14678,14785,14949,15160,15417,15715,16057,16418,16803,17245,17708,18181,18664,19154,19623,20091,20537,20950,21309,21623,21883,22075,22216,22266,22231,22131,21978,21745,21453,21115,20737,20331,19886,19441,18997,18572,18133,17719,17320,16953,16581,16243,15913,15525,15180,14824,14464,14113,13765,13459,13176,12947,12724,12542,12406,12306,12206,12147,12122,12103,12107,12077,12061,12039,12055,12067,12036,12031,12017,12005,11988,12003,11979,11981,11977,11968,11951,11979,11997,11981,11980,11973,11980,11985,11952,11918,11861,11801,11706,11619,11488,11355,11241,11086,10936,10797,10647,10490,10320,10108,9893,9639,9421,9212,9022,8865,8704,8549,8427,8298,8184,8099,8031,7958,7828,7692,7582,7464,7365,7277,7191,7133,7066,7002,6977,6935,6885,6877,6881,6914,6829,6486,34.2,34.6,32.8,231077,0.0,13.2,12.1,5.0,600,4.13,-4.14,60.4121,-38.289002,0.000243,,,,,133
SATSLF2503,2026106,10.543199,-2.60,-0.0364,-0.3624,-0.5270,0.00,17608,986,1,1016,1023,1025,1023,1026,1016,1019,1025,1017,1025,1014,1047,1203,1653,2763,4800,7670,10825,13613,15653,16953,17747,18281,18736,19261,19908,20757,21808,22994,24406,25974,27629,29293,30861,32299,33457,34217,34526,34461,33944,33146,32068,30933,29772,28777,27897,27228,26775,26547,26506,26699,27085,27629,28361,29255,30260,31399,32605,33828,35164,36334,37470,38401,39124,39556,39653,39373,38803,37829,36619,35202,33660,32037,30476,28935,27521,26202,25032,23998,23109,22299,21668,21158,20739,20457,20264,20179,20170,20277,20461,20724,21062,21476,21952,22469,22983,23505,23961,24361,24634,24816,24797,24653,24366,23889,23313,22629,21856,21062,20257,19476,18738,18035,17399,16856,16342,15916,15541,15241,14989,14804,14673,14616,14613,14664,14789,14938,15151,15403,15689,16023,16400,16796,17226,17697,18156,18635,19135,19617,20070,20520,20942,21301,21613,21870,22049,22194,22230,22206,22088,21920,21682,21399,21079,20698,20298,19866,19431,18983,18555,18117,17709,17307,16922,16564,16197,15851,15515,15152,14792,14426,14087,13746,13429,13172,12916,12710,12524,12391,12287,12206,12153,12135,12105,12086,12070,12067,12058,12059,12053,12038,12035,11998,11993,11974,11981,11962,11962,11957,11968,11957,11970,11984,11985,11985,11980,11953,11958,11937,11899,11850,11800,11705,11614,11516,11394,11241,11086,10927,10786,10617,10472,10309,10109,9870,9639,9413,9216,9030,8853,8703,8562,8430,8289,8193,8098,8034,7946,7831,7701,7565,7460,7387,7264,7173,7101,7072,7024,6986,6919,6890,6873,6878,6909,6824,6476,34.2,34.6,32.8,231078,0.0,13.2,12.0,5.0,598,10.20,-14.29,60.5917,-38.343376,0.000292,,,,,226
SATSLF2503,2026106,10.543491,-2.76,-0.0386,-0.3623,-0.5269,0.00,17592,986,1,989,995,1007,1019,1013,1027,1024,1024,1035,1009,1023,1046,1195,1650,2749,4787,7649,10810,13605,15648,16944,17721,18259,18685,19239,19897,20745,21781,22988,24380,25937,27591,29253,30859,32261,33435,34178,34517,34445,33913,33117,32054,30892,29749,28770,27889,27204,26746,26506,26452,26660,27024,27607,28344,29236,30252,31350,32566,33801,35079,36299,37425,38357,39057,39512,39593,39339,38762,37807,36588,35153,33608,31982,30419,28893,27485,26165,25019,23970,23081,22297,21657,21146,20747,20445,20233,20147,20141,20263,20421,20722,21052,21472,21947,22457,22990,23479,23953,24333,24616,24797,24781,24643,24341,23864,23285,22566,21822,21058,20233,19455,18733,18028,17409,16834,16336,15906,15509,15218,14973,14796,14669,14609,14617,14660,14771,14916,15131,15372,15683,16013,16374,16781,17211,17672,18134,18627,19117,19590,20049,20499,20906,21271,21584,21843,22028,22167,22228,22173,22075,21897,21674,21381,21047,20678,20273,19868,19405,18971,18533,18112,17690,17291,16923,16584,16221,15870,15509,15145,14789,14429,14072,13735,13419,13147,12921,12717,12533,12381,12257,12189,12134,12091,12075,12061,12051,12077,12054,12055,12054,12036,12018,11991,11989,11968,11957,11942,11948,11956,11933,11956,11949,11959,11978,11988,11972,11968,11943,11933,11890,11831,11773,11678,11607,11495,11370,11248,11081,10917,10771,10625,10461,10298,10093,9880,9642,9406,9205,9031,8848,8682,8558,8407,8302,8195,8094,8049,7944,7825,7697,7569,7461,7360,7260,7176,7109,7067,7018,6989,6937,6885,6854,6875,6905,6837,6507,34.2,34.6,32.8,231079,0.0,13.2,12.0,5.0,598,9.40,-12.78,60.9729,-38.480095,0.000254,,,,,21
SATSLF2503,2026106,10.543789,-3.31,-0.0464,-0.3618,-0.5262,0.00,17581,986,1,1006,1011,1013,1001,999,1002,1002,1023,1029,1037,1042,1072,1211,1670,2763,4789,7648,10801,13580,15621,16936,17735,18253,18698,19235,19886,20732,21761,22972,24356,25916,27573,29228,30828,32241,33392,34142,34481,34404,33884,33091,32013,30864,29729,28743,27849,27187,26730,26476,26457,26654,27012,27593,28296,29191,30205,31336,32529,33781,35069,36302,37410,38329,39044,39485,39578,39304,38741,37772,36576,35121,33607,31969,30407,28858,27449,26133,24976,23930,23058,22273,21665,21133,20727,20449,20226,20151,20147,20244,20411,20695,21043,21469,21929,22466,22972,23453,23920,24337,24608,24775,24758,24613,24320,23854,23285,22605,21828,21044,20247,19449,18718,18018,17383,16823,16315,15897,15521,15201,14971,14792,14665,14598,14584,14643,14770,14928,15134,15372,15685,16008,16375,16779,17197,17655,18137,18624,19112,19581,20028,20502,20889,21275,21574,21824,22003,22133,22181,22162,22067,21905,21672,21396,21053,20667,20272,19858,19409,18970,18504,18091,17662,17265,16909,16548,16194,15837,15499,15136,14774,14427,14058,13719,13413,13136,12913,12697,12520,12377,12278,12193,12132,12105,12069,12064,12051,12054,12040,12050,12028,12011,12010,12000,11966,11952,11957,11936,11946,11943,11932,11939,11946,11960,11973,11965,11948,11960,11937,11926,11897,11821,11763,11686,11601,11482,11353,11229,11080,10922,10786,10636,10466,10305,10090,9877,9630,9404,9209,9021,8830,8682,8546,8414,8276,8180,8110,8033,7946,7826,7705,7581,7457,7363,7246,7178,7105,7053,7017,6979,6937,6893,6873,6878,6890,6824,6474,34.2,34.6,32.8,231080,0.0,13.2,12.0,5.0,598,13.27,-19.18,61.9052,-38.862059,0.000287,,,,,138
SATSLF2503,2026106,10.544081,-3.10,-0.0434,-0.3617,-0.5260,0.00,17565,986,1,1007,1018,1002,1019,1018,1023,1020,1024,1017,1019,1024,1047,1210,1656,2745,4765,7637,10793,13585,15618,16925,17712,18228,18693,19210,19868,20714,21750,22941,24344,25895,27540,29195,30805,32198,33364,34121,34453,34363,33860,33056,31998,30837,29706,28686,27847,27158,26716,26450,26428,26600,26984,27548,28289,29160,30177,31301,32500,33737,35026,36243,37349,38283,38989,39429,39532,39276,38696,37728,36520,35093,33554,31954,30386,28850,27434,26129,24953,23924,23040,22265,21641,21098,20701,20412,20206,20117,20109,20217,20405,20666,21019,21431,21895,22424,22949,23438,23896,24309,24584,24741,24755,24611,24297,23848,23239,22577,21806,21018,20221,19424,18689,18011,17379,16810,16311,15881,15517,15200,14949,14791,14660,14614,14600,14640,14752,14908,15121,15355,15645,15958,16352,16749,17190,17655,18132,18592,19079,19547,20014,20456,20869,21250,21557,21803,21988,22126,22181,22149,22046,21872,21629,21340,21012,20650,20247,19840,19393,18950,18501,18076,17657,17246,16876,16516,16173,15828,15477,15113,14768,14398,14049,13696,13395,13129,12899,12689,12501,12365,12265,12174,12120,12088,12073,12053,12050,12046,12033,12029,12025,12039,11981,11970,11960,11953,11950,11957,11954,11949,11927,11933,11945,11959,11978,11957,11981,11957,11941,11913,11883,11834,11773,11690,11600,11484,11357,11233,11072,10914,10771,10613,10469,10296,10105,9864,9629,9408,9208,9019,8839,8686,8534,8412,8285,8164,8087,8017,7924,7818,7694,7560,7446,7378,7281,7181,7108,7050,7002,6961,6915,6874,6879,6874,6898,6820,6477,34.2,34.7,32.8,231082,0.0,13.2,12.0,5.0,597,11.51,-16.19,61.4174,-38.631928,0.000275,,,,,74
