Pressure_db,Temperature_C,Fluorescence_mg_m3,BeamAttenuation_1_m,PAR,Oxygen_umol_L,Salinity_PSU,SigmaT_kg_m3,Oxygen_umol_kg,Depth_m,PotentialTemp_C
1.006,29.1308,0.0115,0.0868,625.74,160.678,34.9805,22.0057,155.403,1.0,29.1306
2.011,29.2051,0.0216,0.0832,715.15,157.726,35.1332,22.0955,144.364,2.0,29.2046
3.017,29.2881,0.0191,0.0841,175.83,132.803,35.3647,22.2415,192.562,3.0,29.2874
4.022,29.2263,0.0241,0.0813,96.0,165.079,35.3317,22.2376,184.624,4.0,29.2253
5.028,29.2047,0.0356,0.085,210.46,190.366,35.3347,22.2472,185.585,5.0,29.2035
6.034,29.1712,0.0349,0.0856,129.98,191.201,35.3299,22.2549,187.502,6.0,29.1697
7.039,29.1487,0.0382,0.0862,128.54,191.366,35.3316,22.2638,184.048,7.0,29.147
8.045,29.1183,0.0347,0.0859,199.27,189.992,35.3327,22.2749,183.218,8.0,29.1164
9.05,29.0699,0.0291,0.084,155.55,191.122,35.3339,22.2921,189.327,9.0,29.0677
10.056,29.0108,0.0293,0.0844,57.093,192.809,35.3311,22.3099,188.828,10.0,29.0084
11.061,28.9732,0.0372,0.0855,162.38,188.966,35.3455,22.3334,189.274,11.0,28.9705
12.067,28.8676,0.0439,0.0857,126.92,193.365,35.3351,22.3609,189.262,12.0,28.8647
13.073,28.7606,0.0503,0.0857,161.22,195.239,35.3428,22.4024,181.721,13.0,28.7574
14.078,28.6549,0.0405,0.0848,217.81,194.368,35.3576,22.4488,193.211,14.0,28.6515
15.084,28.5603,0.0576,0.0864,58.638,196.383,35.3559,22.479,188.884,15.0,28.5566
16.09,28.4752,0.0673,0.0889,114.8,191.084,35.3819,22.5267,191.736,16.0,28.4714
17.095,28.1701,0.0717,0.089,113.42,198.985,35.3792,22.6254,197.45,17.0,28.166
18.101,28.0212,0.0789,0.0906,113.53,199.693,35.3992,22.6893,198.868,18.0,28.0169
19.107,27.73,0.0786,0.0915,157.47,196.242,35.4108,22.7931,199.222,19.0,27.7255
20.112,27.269,0.1095,0.0962,127.0,203.495,35.4347,22.9603,199.374,20.0,27.2644
21.118,26.9626,0.133,0.1139,129.49,207.384,35.4712,23.0863,199.508,21.0,26.9578
22.124,26.6193,0.1456,0.1076,120.52,208.411,35.4854,23.2062,197.855,22.0,26.6143
23.13,26.2184,0.1438,0.1124,117.11,206.914,35.5372,23.372,197.36,23.0,26.2132
24.135,25.7184,0.1798,0.1126,88.431,208.521,35.5503,23.5378,195.271,24.0,25.7131
25.141,25.3032,0.2,0.1149,81.765,207.359,35.5999,23.7036,193.257,25.0,25.2976
26.146,25.1159,0.2316,0.127,39.705,205.843,35.5862,23.7507,186.176,26.0,25.1102
27.152,25.0388,0.2517,0.1281,45.133,201.812,35.5872,23.7751,184.354,27.0,25.0329
28.158,24.97,0.2321,0.1335,12.598,200.438,35.5879,23.7966,186.137,28.0,24.9639
29.163,24.8671,0.2629,0.1352,17.532,194.917,35.5953,23.8336,184.619,29.0,24.8608
30.17,24.7381,0.2932,0.1424,25.708,194.157,35.6033,23.8787,180.915,30.0,24.7316
31.175,24.585,0.3586,0.142,20.965,193.311,35.6043,23.9259,181.492,31.0,24.5783
32.181,24.272,0.5683,0.1463,25.043,194.23,35.6369,24.0445,186.663,32.0,24.2652
33.187,23.6094,0.7101,0.1588,39.045,187.932,35.668,24.2647,192.041,33.0,23.6024
34.192,23.4227,0.5644,0.1781,29.976,188.159,35.7239,24.3618,186.022,34.0,23.4156
35.198,23.2714,0.4272,0.1826,21.903,193.899,35.7485,24.4247,176.61,35.0,23.2642
36.204,23.0695,0.4655,0.168,24.224,199.702,35.7603,24.4923,174.834,36.0,23.0621
37.21,22.849,0.9945,0.159,21.28,198.556,35.7481,24.5469,182.853,37.0,22.8414
38.215,22.5322,1.2037,0.1844,23.463,190.573,35.7254,24.6208,192.474,38.0,22.5245
