cast_id,timeS,prdM,tv290C,c0S/m,flECO-AFL,flECO-AFL1,CStarAt0,par/sat/log,sbeox0V,sbeox0Mm/L,sal00,sigma-é00,sbox0Mm/Kg,depSM,potemp090C,nbin,flag,utc_time,suna_nitrate,suna_match_gap_s
P45_06_CTD_07,671.375,4.198,29.6071,5.840921,0.0423,165.0,0.0796,636.41,2.1764,143.647,35.3205,22.1006,150.206,4.175,29.6061,4,0.0,2026-04-17 12:15:38.375000+00:00,-1.0679753449664429,0.2366
P45_06_CTD_07,672.25,4.883,29.6151,5.840805,0.022,70.0,0.0802,703.52,2.1963,145.108,35.3137,22.0928,150.478,4.856,29.6139,3,0.0,2026-04-17 12:15:39.250000+00:00,-0.4822740005925926,0.0388
P45_06_CTD_07,725.375,5.822,29.5712,5.8382,0.0312,47.5,0.0841,239.69,2.5546,183.305,35.3278,22.1184,181.652,5.79,29.5698,4,0.0,2026-04-17 12:16:32.375000+00:00,,3.3346
P45_06_CTD_07,726.25,6.506,29.5194,5.832398,0.0416,153.3333,0.0834,306.85,2.546,190.648,35.3261,22.1347,182.056,6.47,29.5178,3,0.0,2026-04-17 12:16:33.250000+00:00,,2.4596
P45_06_CTD_07,728.375,7.031,29.4675,5.827217,0.0238,122.5,0.0837,284.36,2.602,185.759,35.3287,22.1542,187.77,6.992,29.4658,4,0.0,2026-04-17 12:16:35.375000+00:00,0.10800095486815536,0.3346
P45_06_CTD_07,729.375,7.984,29.4236,5.822202,0.033,90.0,0.0858,264.9,2.6042,188.226,35.3264,22.1674,186.944,7.939,29.4216,4,0.0,2026-04-17 12:16:36.375000+00:00,0.05190402447304608,0.6654
P45_06_CTD_07,730.125,8.374,29.4096,5.820855,0.0404,50.0,0.0829,286.63,2.5998,187.637,35.3273,22.1729,186.777,8.328,29.4075,2,0.0,2026-04-17 12:16:37.125000+00:00,-0.0023069343779145574,1.4154
P45_06_CTD_07,731.375,8.515,29.4043,5.820287,0.0294,82.5,0.0847,312.65,2.6103,185.679,35.3273,22.1747,188.338,8.468,29.4021,4,0.0,2026-04-17 12:16:38.375000+00:00,,2.6654
P45_06_CTD_07,732.375,9.24,29.3911,5.81866,0.0312,62.5,0.0838,235.69,2.6166,189.604,35.3256,22.178,188.445,9.189,29.3888,4,0.0,2026-04-17 12:16:39.375000+00:00,,3.6654
P45_06_CTD_07,733.375,10.26,29.3687,5.816054,0.0349,115.0,0.0825,259.06,2.6138,193.465,35.324,22.1844,187.855,10.203,29.3661,4,0.0,2026-04-17 12:16:40.375000+00:00,,4.6654
