cast_id,raw_suffix,raw_file,config_match_status,config_stem,config_suffix,config_file,raw_size_kb,raw_date_modified
P45_06_CTD_01,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_01.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,135.66,2026-04-15T12:50:42
P45_06_CTD_02,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_02.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,218.38,2026-04-15T17:07:40
P45_06_CTD_03,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_03.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,130.07,2026-04-16T12:24:13
P45_06_CTD_04,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_04.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,313.39,2026-04-16T17:48:13
P45_06_CTD_05,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_05.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,261.88,2026-04-16T17:52:48
P45_06_CTD_06,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_06.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,203.0,2026-04-16T15:33:25
P45_06_CTD_07,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_07.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,185.94,2026-04-17T12:58:15
P45_06_CTD_08,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_08.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,138.03,2026-04-17T17:13:47
P45_06_CTD_09,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_09.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,129.12,2026-04-18T10:40:32
P45_06_CTD_10,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_10.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,121.45,2026-04-18T16:40:21
P45_06_CTD_11,.hex,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L0\CTD\P45_06_CTD_11.hex,matched,19-8460,.xmlcon,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\Instrument_Calibration_Files\19-8460.xmlcon,225.61,2026-04-18T16:37:44
