cast_id,product_name,expected_path,exists,size_bytes,run_requested
P45_06_CTD_01,L1_cnv_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_01.cnv,True,362624,True
P45_06_CTD_01,L2_cnv_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_01_1m_down.cnv,True,17652,True
P45_06_CTD_01,L2_cnv_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_01_1s.cnv,True,35986,True
P45_06_CTD_02,L1_cnv_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_02.cnv,True,579700,True
P45_06_CTD_02,L2_cnv_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_02_1m_down.cnv,True,41258,True
P45_06_CTD_02,L2_cnv_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_02_1s.cnv,True,129900,True
P45_06_CTD_03,L1_cnv_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_03.cnv,True,347974,True
P45_06_CTD_03,L2_cnv_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_03_1m_down.cnv,True,17450,True
P45_06_CTD_03,L2_cnv_1s_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1s\P45_06_CTD_03_1s.cnv,True,35595,True
P45_06_CTD_04,L1_cnv_full,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L1\CTD\P45_06_CTD_04.cnv,True,829020,True
P45_06_CTD_04,L2_cnv_1m_down,C:\Users\OA_2023-03\Projects\ctd_pipeline_v2\ctd\cruises\P45_06\L2\CTD\CTD_1m_down\P45_06_CTD_04_1m_down.cnv,True,27271,True
