cast_id,depth_col,thermocline_depth_m,dTdz_at_thermocline,mld_temp_m,halocline_depth_m,dSdz_at_halocline,pycnocline_depth_m,mld_density_m,oxycline_depth_m,dcm_depth_m,dcm_fluor_value,nitracline_onset_m,nitracline_surface_min_uM,nitracline_maxgrad_m,dNdz_at_nitracline
P45_06_CTD_01,depSM,33.0,-0.4499499999999994,20.0,27.0,0.04295999999999722,27.0,18.0,30.0,41.0,0.8261,,,,
P45_06_CTD_02,depSM,33.0,-0.46076999999999835,24.0,28.0,0.06454000000000093,33.0,23.0,44.0,48.0,0.6984,,,,
P45_06_CTD_03,depSM,25.0,-0.5134700000000016,14.0,25.0,0.03540000000000276,25.0,12.0,34.0,32.0,0.8292,32.0,-1.5343454200742856,36.0,0.3430117014137696
P45_06_CTD_04,depSM,32.0,-0.42403999999999975,16.0,23.0,0.04146000000000427,23.0,13.0,40.0,39.0,0.9082,36.0,-0.7208045829789169,49.0,1.3252118882624284
P45_06_CTD_05,depSM,22.0,-0.4567099999999993,15.0,22.0,0.0473700000000008,22.0,12.0,33.0,39.0,0.8979,24.0,-1.694233611944067,33.0,1.4199070580085393
P45_06_CTD_06,depSM,30.0,-0.4863400000000002,17.0,23.0,0.048680000000000945,30.0,16.0,40.0,45.0,0.8115,45.0,-0.5488511667056108,59.0,0.7403456483011168
P45_06_CTD_07,depSM,24.0,-0.5138799999999968,15.0,22.0,0.04411999999999949,24.0,13.0,31.0,35.0,1.0332,20.0,-1.5020848121433834,23.0,0.8127285552091771
P45_06_CTD_08,depSM,28.0,-0.5644999999999989,17.0,25.0,0.04735000000000156,28.0,16.0,35.0,38.0,1.2609,36.0,-0.9986129080045169,51.0,0.6660562766677312
P45_06_CTD_09,depSM,22.0,-0.39773999999999887,13.0,22.0,0.03047000000000466,22.0,12.0,24.0,38.0,1.2037,,,,
P45_06_CTD_10,depSM,32.0,-0.42588000000000115,17.0,26.0,0.0389400000000002,32.0,14.0,46.0,50.0,0.938,,,,
P45_06_CTD_11,depSM,28.0,-0.38383000000000145,22.0,31.0,0.04656999999999911,29.0,20.0,74.0,53.0,0.7188,,,,
